Algorithm,Total SD,Within-Dataset SD,Between-Dataset SD,ICC
NSGA-II,0.3672,0.3088,0.2302,0.393
NSGA-III,0.2847,0.2424,0.1744,0.375
SPEA2,0.3411,0.2923,0.2063,0.366
ε-MOEA,0.3892,0.3917,0.1150,0.087
