Algorithm,Total SD,Within-Dataset SD,Between-Dataset SD,ICC
NSGA-II,0.5424,0.3339,0.4606,0.721
NSGA-III,0.5138,0.2922,0.4528,0.777
SPEA2,0.6150,0.4009,0.5053,0.675
ε-MOEA,0.6905,0.5308,0.4927,0.509
