Algorithm,Total SD,Within-Dataset SD,Between-Dataset SD,ICC
NSGA-II,0.3858,0.2043,0.3493,0.820
NSGA-III,0.3397,0.1709,0.3127,0.847
SPEA2,0.5719,0.1874,0.5698,0.993
ε-MOEA,0.5142,0.2610,0.4720,0.842
