Algorithm,Total SD,Within-Dataset SD,Between-Dataset SD,ICC
NSGA-II,108.7717,105.4215,43.5974,0.161
NSGA-III,106.8785,95.1528,59.2559,0.307
SPEA2,33.6857,33.4537,11.3599,0.114
ε-MOEA,234.7592,191.5612,154.6848,0.434
