꽈리고추멸치볶음,꽈리고추멸치볶음,
무나물,무나물,
부대찌개,부대찌개,
부추김말이찜,간장양념부추찜,
마늘쫑새우볶음,마늘쫑새우볶음,
흰밥,쌀밥,
건새우아욱국,건새우아욱국,
돈육김치볶음*두부,돼지고기김치볶음,
베이컨야채무침,베이컨야채볶음,
깻잎양념장,깻잎장아찌,
크림스프,크림스프,
갈치무청조림,갈치조림,
오색산적,산적꼬치,
배추된장나물,배추된장나물,
흰밥,쌀밥,
칼국수,칼국수,
메밀전병찜,메밀전병,
새송이메추리알조림,표고버섯메추리알장조림,
간장마늘쫑무침,마늘쫑무침,
참치김치덮밥소스,참치김치덮밥,
군만두구이*양배추채,군만두,
열무된장나물,열무된장나물,
구운계란*요구르트,달걀/메추리알_직화구운계란,
흰밥,쌀밥,
얼갈이배추국,얼갈이배춧국,
브로콜리닭볶음,브로콜리볶음,
도토리묵양념장,도토리묵양념장,
쨔사이무침,짜사이무침,
유부계란국,계란국,
짜장소스,짜장소스,
두부스팸소스조림,두부스팸조림,
가지나물,가지나물,
흰밥,쌀밥,
북어콩나물국,콩나물국,
묵은지돈육볶음,묵은지제육볶음,
어묵당면잡채,어묵당면잡채,
날김*냉이달래장,김구이,
마들렌*생강차,비스킷/쿠키/크래커_마들렌,
호박된장국,호박된장국,
고등어데리야끼,고등어데리야끼구이,
흰밥,쌀밥,
사골떡국,사골떡국,
피쉬볼야채조림,어묵조림,
숙주청포묵무침,청포묵무침,
간장양파절임,양파장아찌,
들깨가루미역국,들깨미역국,
미트소스스파게티,미트볼토마토스파게티,
당근계란말이,계란말이,
유채겉절이,유채나물무침,
파채소고기볶음,소고기채소볶음,
흰밥,쌀밥,
근대국,근대국,
임연수소금구이,임연수구이,
햄마늘쫑볶음,마늘쫑볶음,
곰피초무침,곰피무침,
흰밥,쌀밥,
크림소스찜닭,로제찜닭,
양배추맛살전,맛살전,
오이지무침,오이지무침,
새알팥죽,죽_단팥죽,
김말이찜,김말이,
호박버섯볶음,호박느타리버섯볶음,
콩나물오리볶음,부추오리주물럭,
명엽채무침,명엽채볶음,
참나물겉절이,봄나물겉절이,
뼈없는감자탕,등뼈감자탕,
들기름막국무침,들기름국수,
비엔나케찹조림,소시지볶음,
봄동겉절이,봄동겉절이,
후르츠칵테일,과일가공품_프루트칵테일통조림,
흰밥,쌀밥,
북어채무국,북어무국,
야채춘권찜,춘권,
치커리사과샐러드,치커리샐러드와올리브마늘드레싱,
흰밥,쌀밥,
냉이된장국,냉이된장국,
닭고기죽순볶음,닭고기볶음,
